id,name,image,model,categoryId,price,description,rating,origin,prepTime,availability,dietary,calories,protein,carbs,fats,flavorProfile,spiceLevel,ingredients,servingSize,tags,price_LKR,price_USD,Gluten-Free,Vegan,Vegetarian,tag_american,tag_appetizer,tag_beans,tag_bread,tag_burger,tag_cheesy,tag_chinese,tag_chocolate,tag_cocktail,tag_coconut,tag_coffee,tag_cold,tag_condiment,tag_cookies,tag_cooling,tag_corn,tag_creamy,tag_crispy,tag_curry,tag_custard,tag_dessert,tag_dip,tag_dumplings,tag_fast food,tag_floral,tag_fried,tag_fries,tag_fritters,tag_fruity,tag_fudge,tag_gluten-free,tag_grain,tag_greens,tag_grilled,tag_hearty,tag_herbal,tag_hot,tag_ice cream,tag_iced,tag_indian,tag_italian,tag_juice,tag_lemonade,tag_lentils,tag_milk,tag_milky,tag_mushrooms,tag_noodles,tag_pasta,tag_pastry,tag_pie,tag_potatoes,tag_pudding,tag_refreshing,tag_rice,tag_salad,tag_savory,tag_seafood,tag_short eats,tag_snack,tag_soda,tag_spiced,tag_spicy,tag_sri lankan,tag_steak,tag_steamed,tag_stir-fry,tag_street food,tag_sweet,tag_syrup,tag_tangy,tag_tea,tag_thai,tag_tropical,tag_vegan,tag_vegetarian,tag_wafers,tag_yogurt,flavor_Bitter,flavor_Citrus,flavor_Creamy,flavor_Earthy,flavor_Floral,flavor_Fresh,flavor_Herbal,flavor_Neutral,flavor_Savory,flavor_Spicy,flavor_Sweet,flavor_Sweet-Savory,flavor_Sweet-Sour,flavor_Sweet-Spicy,flavor_Sweet-Tart,flavor_Tangy,spiceLevel_encoded,origin_American,origin_Chinese,origin_Chinese-American,origin_Indian,origin_Italian,origin_Sri Lankan,origin_Thai
1,Fish Cutlets,/foodImages/fish_cutlets.jpeg,/models/fish_cutlets.glb,1,"{'LKR': 350, 'USD': 1.17}","Crispy breaded fish balls with spices, served with chili sauce",4.6,Sri Lankan,Quick (under 15 min),In Stock,[],250,12,20,12,Savory,Medium,"fish, potatoes, breadcrumbs, spices, chili sauce",4 pieces,"['sri lankan', 'short eats', 'fried']",350.0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,False,False,True,False
2,Vegetable Samosa,/foodImages/veg_samosa.jpeg,/models/veg_samosa.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy pastry with spiced potato and pea filling,4.5,Indian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,10,Savory,Medium,"flour, potatoes, peas, spices",2 pieces,"['indian', 'snack', 'vegetarian']",300.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,False,False
3,Chicken Wings,/foodImages/chicken_wings.jpeg,/models/chicken_wings.glb,1,"{'LKR': 450, 'USD': 1.5}",Spicy buffalo wings with ranch dip,4.6,American,Quick (under 15 min),In Stock,[],300,15,5,20,Spicy,Hot,"chicken, hot sauce, butter, ranch",6 pieces,"['american', 'snack', 'spicy']",450.0,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,True,False,False,False,False,False,False
4,Bruschetta,/foodImages/bruschetta.jpeg,/models/bruschetta.glb,1,"{'LKR': 400, 'USD': 1.33}","Toasted bread with tomato, basil, and olive oil",4.5,Italian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,8,Fresh,Mild,"bread, tomatoes, basil, olive oil",3 slices,"['italian', 'appetizer', 'vegetarian']",400.0,1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False
5,Spring Rolls,/foodImages/spring_rolls.jpeg,/models/spring_rolls.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy rolls with vegetables and shrimp,4.5,Chinese,Quick (under 15 min),In Stock,[],220,8,25,10,Savory,Mild,"shrimp, vegetables, pastry wrapper",3 pieces,"['chinese', 'snack', 'fried']",350.0,1.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False
6,Masala Vadai,/foodImages/masala_vadai.jpeg,/models/masala_vadai.glb,1,"{'LKR': 250, 'USD': 0.83}",Spicy lentil fritters with onions,4.6,Sri Lankan,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",180,6,20,8,Spicy,Medium,"lentils, onions, spices",3 pieces,"['sri lankan', 'short eats', 'vegan']",250.0,0.83,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,False,False,True,False
7,Pani Puri,/foodImages/pani_puri.jpeg,/models/pani_puri.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy puri with spiced water and chickpeas,4.7,Indian,Quick (under 15 min),In Stock,['Vegetarian'],180,4,25,8,Tangy,Medium,"semolina, chickpeas, tamarind, spices",6 pieces,"['indian', 'street food', 'vegetarian']",300.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,False,False,True,False,False,False
8,Mozzarella Sticks,/foodImages/mozzarella_sticks.jpeg,/models/mozzarella_sticks.glb,1,"{'LKR': 500, 'USD': 1.67}",Fried cheese sticks with marinara sauce,4.5,American,Quick (under 15 min),In Stock,['Vegetarian'],300,12,20,18,Savory,Mild,"mozzarella, breadcrumbs, marinara sauce",5 pieces,"['american', 'snack', 'cheesy']",500.0,1.67,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,True,False,False,False,False,False,False
9,Caprese Skewers,/foodImages/caprese_skewers.jpeg,/models/caprese_skewers.glb,1,"{'LKR': 400, 'USD': 1.33}","Cherry tomatoes, mozzarella, and basil with balsamic glaze",4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],180,8,10,12,Fresh,Mild,"tomatoes, mozzarella, basil, balsamic",4 skewers,"['italian', 'appetizer', 'vegetarian']",400.0,1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False
10,Dumplings,/foodImages/dumplings.jpeg,/models/dumplings.glb,1,"{'LKR': 400, 'USD': 1.33}",Steamed pork and vegetable dumplings with soy dip,4.6,Chinese,Quick (under 15 min),In Stock,[],250,10,20,12,Savory,Mild,"pork, vegetables, flour, soy sauce",5 pieces,"['chinese', 'appetizer', 'steamed']",400.0,1.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False
11,Egg Rolls,/foodImages/egg_rolls.jpeg,/models/egg_rolls.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy rolls with pork and cabbage filling,4.5,Chinese,Quick (under 15 min),In Stock,[],230,9,22,11,Savory,Mild,"pork, cabbage, carrots, pastry wrapper",3 pieces,"['chinese', 'snack', 'fried']",350.0,1.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False
12,Pakora,/foodImages/pakora.jpeg,/models/pakora.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy vegetable fritters with chickpea flour,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",190,5,20,10,Savory,Medium,"chickpea flour, vegetables, spices",4 pieces,"['indian', 'snack', 'vegan']",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,False,False
13,Crab Rangoon,/foodImages/crab_rangoon.jpeg,/models/crab_rangoon.glb,1,"{'LKR': 450, 'USD': 1.5}",Fried wontons with cream cheese and crab,4.5,Chinese-American,Quick (under 15 min),In Stock,[],280,8,20,15,Creamy,Mild,"crab, cream cheese, wonton wrappers",4 pieces,"['chinese', 'american', 'snack', 'fried']",450.0,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,True,False,False,False,False
14,Coconut Prawns,/foodImages/coconut_prawns.jpeg,/models/coconut_prawns.glb,1,"{'LKR': 500, 'USD': 1.67}",Crispy prawns coated in coconut,4.7,Sri Lankan,Quick (under 15 min),In Stock,[],300,12,15,18,Sweet-Savory,Mild,"prawns, coconut, breadcrumbs, spices",5 pieces,"['sri lankan', 'seafood', 'fried']",500.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,False,False,False,False,False,True,False
15,Aloo Tikki,/foodImages/aloo_tikki.jpeg,/models/aloo_tikki.glb,1,"{'LKR': 300, 'USD': 1.0}",Spiced potato patties with chutney,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",200,5,25,8,Savory,Medium,"potatoes, spices, chickpea flour",3 pieces,"['indian', 'snack', 'vegan']",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,False,False
16,Stuffed Mushrooms,/foodImages/stuffed_mushrooms.jpeg,/models/stuffed_mushrooms.glb,1,"{'LKR': 450, 'USD': 1.5}",Mushrooms stuffed with cheese and herbs,4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],220,8,10,15,Savory,Mild,"mushrooms, cheese, breadcrumbs, herbs",4 pieces,"['italian', 'appetizer', 'vegetarian']",450.0,1.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False
17,Fried Calamari,/foodImages/fried_calamari.jpeg,/models/fried_calamari.glb,1,"{'LKR': 500, 'USD': 1.67}",Crispy squid rings with marinara sauce,4.5,Italian,Quick (under 15 min),In Stock,[],280,12,20,15,Savory,Mild,"squid, flour, marinara sauce",6 pieces,"['italian', 'seafood', 'fried']",500.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False
18,Pork Satay,/foodImages/pork_satay.jpeg,/models/pork_satay.glb,1,"{'LKR': 450, 'USD': 1.5}",Grilled pork skewers with peanut sauce,4.7,Thai,Quick (under 15 min),In Stock,[],260,15,10,15,Savory,Medium,"pork, peanut sauce, spices",4 skewers,"['thai', 'snack', 'grilled']",450.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,False,False,False,True
19,Deviled Eggs,/foodImages/deviled_eggs.jpeg,/models/deviled_eggs.glb,1,"{'LKR': 350, 'USD': 1.17}",Hard-boiled eggs with creamy yolk filling,4.4,American,Quick (under 15 min),In Stock,['Vegetarian'],180,8,2,15,Creamy,Mild,"eggs, mayonnaise, mustard",4 halves,"['american', 'snack', 'creamy']",350.0,1.17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True,False,False,False,False,False,False
20,Papdi Chaat,/foodImages/papdi_chaat.jpeg,/models/papdi_chaat.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy wafers with yogurt and chutney,4.6,Indian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,10,Tangy,Medium,"papdi, yogurt, tamarind chutney, spices",6 pieces,"['indian', 'street food', 'vegetarian']",350.0,1.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,False,False,True,False,False,False
21,Prawn Toast,/foodImages/prawn_toast.jpeg,/models/prawn_toast.glb,1,"{'LKR': 400, 'USD': 1.33}",Bread topped with minced prawns and sesame,4.5,Chinese,Quick (under 15 min),In Stock,[],250,10,20,12,Savory,Mild,"prawns, bread, sesame seeds",4 pieces,"['chinese', 'snack', 'fried']",400.0,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False
22,Isso Vadai,/foodImages/isso_vadai.jpeg,/models/isso_vadai.glb,1,"{'LKR': 300, 'USD': 1.0}",Lentil fritters topped with prawns,4.7,Sri Lankan,Quick (under 15 min),In Stock,[],220,10,20,10,Spicy,Medium,"lentils, prawns, spices",3 pieces,"['sri lankan', 'short eats', 'seafood']",300.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,False,False,True,False
23,Onion Bhaji,/foodImages/onion_bhaji.jpeg,/models/onion_bhaji.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy onion fritters with spices,4.6,Indian,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",190,4,20,10,Savory,Medium,"onions, chickpea flour, spices",4 pieces,"['indian', 'snack', 'vegan']",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,False,False
24,Nachos,/foodImages/nachos.jpeg,/models/nachos.glb,1,"{'LKR': 450, 'USD': 1.5}",Tortilla chips with cheese and salsa,4.5,American,Quick (under 15 min),In Stock,['Vegetarian'],300,8,30,15,Savory,Mild,"tortilla chips, cheese, salsa, jalapeños",1 plate,"['american', 'snack', 'cheesy']",450.0,1.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,True,False,False,False,False,False,False
25,Arancini,/foodImages/arancini.jpeg,/models/arancini.glb,1,"{'LKR': 400, 'USD': 1.33}",Fried rice balls stuffed with mozzarella,4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],250,8,25,12,Savory,Mild,"rice, mozzarella, breadcrumbs",3 pieces,"['italian', 'snack', 'fried']",400.0,1.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False
26,Tom Yum Prawns,/foodImages/tom_yum_prawns.jpeg,/models/tom_yum_prawns.glb,1,"{'LKR': 500, 'USD': 1.67}",Spicy prawns with lemongrass and chili,4.7,Thai,Quick (under 15 min),In Stock,[],200,12,10,10,Spicy,Hot,"prawns, lemongrass, chili, lime",5 pieces,"['thai', 'seafood', 'spicy']",500.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,False,False,False,False,False,False,True
27,Potato Skins,/foodImages/potato_skins.jpeg,/models/potato_skins.glb,1,"{'LKR': 400, 'USD': 1.33}",Baked potato skins with cheese and bacon,4.5,American,Quick (under 15 min),In Stock,[],300,10,25,15,Savory,Mild,"potatoes, cheese, bacon, sour cream",4 pieces,"['american', 'snack', 'cheesy']",400.0,1.33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,True,False,False,False,False,False,False
