id,name,image,model,categoryId,price,description,rating,origin,prepTime,availability,dietary,calories,protein,carbs,fats,flavorProfile,spiceLevel,ingredients,servingSize,tags,price_LKR,price_USD,Gluten-Free,Vegan,Vegetarian,tag_american,tag_appetizer,tag_beans,tag_bread,tag_burger,tag_cheesy,tag_chinese,tag_chocolate,tag_cocktail,tag_coconut,tag_coffee,tag_cold,tag_condiment,tag_cookies,tag_cooling,tag_corn,tag_creamy,tag_crispy,tag_curry,tag_custard,tag_dessert,tag_dip,tag_dumplings,tag_fast food,tag_floral,tag_fried,tag_fries,tag_fritters,tag_fruity,tag_fudge,tag_gluten-free,tag_grain,tag_greens,tag_grilled,tag_hearty,tag_herbal,tag_hot,tag_ice cream,tag_iced,tag_indian,tag_italian,tag_juice,tag_lemonade,tag_lentils,tag_milk,tag_milky,tag_mushrooms,tag_noodles,tag_pasta,tag_pastry,tag_pie,tag_potatoes,tag_pudding,tag_refreshing,tag_rice,tag_salad,tag_savory,tag_seafood,tag_short eats,tag_snack,tag_soda,tag_spiced,tag_spicy,tag_sri lankan,tag_steak,tag_steamed,tag_stir-fry,tag_street food,tag_sweet,tag_syrup,tag_tangy,tag_tea,tag_thai,tag_tropical,tag_vegan,tag_vegetarian,tag_wafers,tag_yogurt,flavor_Bitter,flavor_Citrus,flavor_Creamy,flavor_Earthy,flavor_Floral,flavor_Fresh,flavor_Herbal,flavor_Neutral,flavor_Savory,flavor_Spicy,flavor_Sweet,flavor_Sweet-Savory,flavor_Sweet-Sour,flavor_Sweet-Spicy,flavor_Sweet-Tart,flavor_Tangy,spiceLevel_encoded,origin_American,origin_Chinese,origin_Chinese-American,origin_Indian,origin_Italian,origin_Sri Lankan,origin_Thai,available_in_menu,ingredients_list,nutrition_tags,contextual_tags
1,Fish Cutlets,/foodImages/fish_cutlets.jpeg,/models/fish_cutlets.glb,1,"{'LKR': 350, 'USD': 1.17}","Crispy breaded fish balls with spices, served with chili sauce",4.6,Sri Lankan,Quick (under 15 min),In Stock,[],250,12,20,12,Savory,Medium,"fish, potatoes, breadcrumbs, spices, chili sauce",4 pieces,"[""sri lankan"", ""short eats"", ""fried""]",350.0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,"['fish', 'potatoes', 'breadcrumbs', 'spices', 'chili sauce']","[""Low Calorie""]","[""seafood"", ""medium"", ""sri lankan"", ""savory"", ""fried"", ""short eats""]"
2,Vegetable Samosa,/foodImages/veg_samosa.jpeg,/models/veg_samosa.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy pastry with spiced potato and pea filling,4.5,Indian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,10,Savory,Medium,"flour, potatoes, peas, spices",2 pieces,"[""indian"", ""snack"", ""vegetarian""]",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,"['flour', 'potatoes', 'peas', 'spices']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""medium"", ""savory"", ""snack"", ""vegetarian"", ""indian"", ""vegan""]"
3,Chicken Wings,/foodImages/chicken_wings.jpeg,/models/chicken_wings.glb,1,"{'LKR': 450, 'USD': 1.5}",Spicy buffalo wings with ranch dip,4.6,American,Quick (under 15 min),In Stock,[],300,15,5,20,Spicy,Hot,"chicken, hot sauce, butter, ranch",6 pieces,"[""american"", ""snack"", ""spicy""]",450.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,"['chicken', 'hot sauce', 'butter', 'ranch']","[""High Protein"", ""Gluten-Free""]","[""american"", ""spicy"", ""hot"", ""snack""]"
4,Bruschetta,/foodImages/bruschetta.jpeg,/models/bruschetta.glb,1,"{'LKR': 400, 'USD': 1.33}","Toasted bread with tomato, basil, and olive oil",4.5,Italian,Quick (under 15 min),In Stock,['Vegetarian'],200,5,25,8,Fresh,Mild,"bread, tomatoes, basil, olive oil",3 slices,"[""italian"", ""appetizer"", ""vegetarian""]",400.0,1.33,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"['bread', 'tomatoes', 'basil', 'olive oil']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""fresh"", ""appetizer"", ""vegetarian"", ""italian"", ""mild"", ""vegan""]"
5,Spring Rolls,/foodImages/spring_rolls.jpeg,/models/spring_rolls.glb,1,"{'LKR': 350, 'USD': 1.17}",Crispy rolls with vegetables and shrimp,4.5,Chinese,Quick (under 15 min),In Stock,[],220,8,25,10,Savory,Mild,"shrimp, vegetables, pastry wrapper",3 pieces,"[""chinese"", ""snack"", ""fried""]",350.0,1.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"['shrimp', 'vegetables', 'pastry wrapper']","[""Low Calorie""]","[""seafood"", ""savory"", ""mild"", ""snack"", ""chinese"", ""fried""]"
6,Masala Vadai,/foodImages/masala_vadai.jpeg,/models/masala_vadai.glb,1,"{'LKR': 250, 'USD': 0.83}",Spicy lentil fritters with onions,4.6,Sri Lankan,Quick (under 15 min),In Stock,"['Vegetarian', 'Vegan']",180,6,20,8,Spicy,Medium,"lentils, onions, spices",3 pieces,"[""sri lankan"", ""short eats"", ""vegan""]",250.0,0.83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,"['lentils', 'onions', 'spices']","[""Vegan"", ""Vegetarian"", ""Gluten-Free"", ""Low Calorie""]","[""medium"", ""sri lankan"", ""vegetarian"", ""vegan"", ""short eats"", ""spicy""]"
7,Pani Puri,/foodImages/pani_puri.jpeg,/models/pani_puri.glb,1,"{'LKR': 300, 'USD': 1.0}",Crispy puri with spiced water and chickpeas,4.7,Indian,Quick (under 15 min),In Stock,['Vegetarian'],180,4,25,8,Tangy,Medium,"semolina, chickpeas, tamarind, spices",6 pieces,"[""indian"", ""street food"", ""vegetarian""]",300.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,"['semolina', 'chickpeas', 'tamarind', 'spices']","[""Vegan"", ""Vegetarian"", ""Low Calorie""]","[""medium"", ""street food"", ""tangy"", ""vegetarian"", ""indian"", ""vegan""]"
8,Mozzarella Sticks,/foodImages/mozzarella_sticks.jpeg,/models/mozzarella_sticks.glb,1,"{'LKR': 500, 'USD': 1.67}",Fried cheese sticks with marinara sauce,4.5,American,Quick (under 15 min),In Stock,['Vegetarian'],300,12,20,18,Savory,Mild,"mozzarella, breadcrumbs, marinara sauce",5 pieces,"[""american"", ""snack"", ""cheesy""]",500.0,1.67,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"['mozzarella', 'breadcrumbs', 'marinara sauce']","[""Vegetarian""]","[""savory"", ""vegetarian"", ""american"", ""mild"", ""cheesy"", ""snack""]"
9,Caprese Skewers,/foodImages/caprese_skewers.jpeg,/models/caprese_skewers.glb,1,"{'LKR': 400, 'USD': 1.33}","Cherry tomatoes, mozzarella, and basil with balsamic glaze",4.6,Italian,Quick (under 15 min),In Stock,['Vegetarian'],180,8,10,12,Fresh,Mild,"tomatoes, mozzarella, basil, balsamic",4 skewers,"[""italian"", ""appetizer"", ""vegetarian""]",400.0,1.33,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"['tomatoes', 'mozzarella', 'basil', 'balsamic']","[""Vegetarian"", ""Gluten-Free"", ""Low Calorie""]","[""fresh"", ""appetizer"", ""vegetarian"", ""italian"", ""mild""]"
10,Dumplings,/foodImages/dumplings.jpeg,/models/dumplings.glb,1,"{'LKR': 400, 'USD': 1.33}",Steamed pork and vegetable dumplings with soy dip,4.6,Chinese,Quick (under 15 min),In Stock,[],250,10,20,12,Savory,Mild,"pork, vegetables, flour, soy sauce",5 pieces,"[""chinese"", ""appetizer"", ""steamed""]",400.0,1.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"['pork', 'vegetables', 'flour', 'soy sauce']","[""Low Calorie""]","[""appetizer"", ""savory"", ""mild"", ""steamed"", ""chinese""]"
